name,domain,city,countryCode,creatioLastActivityDisplayTimestamp,creatioLastContactDisplayTimestamp,creatioOwner,creatioStatus,creatioTeam,crunchbaseCategoryList,currentEmployeeCount,employeeCountGrowth,state,totalFunding
"The 1911 Trust Company, LLC",1911trust.com,Beverly,USA,2026-01-30T11:22:20.421790,2026-01-30T11:22:20.421790,Larry Cheng,A,I&C,"Consulting,Financial Services,Real Estate,Wealth Management",,,MA,
1Ciso,1ciso.com,New York,USA,2026-02-05T10:34:24.076004,2026-02-05T10:33:16.028000,None,B,None,None,13,8.0,New York,
1Logtech Inc,1logtech.com,Westerville,USA,2026-02-03T13:52:24.259000,2026-02-03T13:52:24.259000,Ella Steinhilber,C,SW,"Artificial Intelligence (AI),Logistics,Supply Chain Management",12,140.0,Ohio,1522500
257,257.co,New York,USA,2026-02-03T09:03:28.301000,2026-02-03T09:03:28.301000,Ainsley Radell,B,I&C,"Artificial Intelligence (AI),Energy,Energy Efficiency,Energy Management,Software",15,7.0,New York,9200000
49ing,49ing.ai,Zürich,CHE,2026-02-05T09:17:40.109000,2026-02-05T09:12:26.396000,Hannah Ditmars,B,SW,None,32,129.0,Zürich,
4XDigital,4xdigital.ai,Washington,USA,2026-01-28T13:23:00,2026-01-28T13:23:00,Cassidy Piersiak,B,I&C,None,5,-50.0,District of Columbia,
51toCarbonZero,51tocarbonzero.com,London,GBR,2026-01-29T13:54:18.177000,2026-01-29T11:28:01.540000,Chad Kemmerer,B,SW,"Business Development,Environmental Consulting,Technical Support",23,53.0,"London, City of",4023120
60x.ai,60x.ai,London,GBR,2026-01-28T09:32:50.877000,2026-01-28T09:32:50.877000,Juliet Fitzgerald,B,I&C,None,3,0.0,"London, City of",
7taps,7taps.com,Delray Beach,USA,2026-01-29T10:50:52.765722,2026-01-29T10:44:04.049000,None,B,None,"E-Learning,Software",45,5.0,Florida,
8020REI,8020rei.com,North Miami,USA,2026-01-29T08:56:08.387000,2026-01-29T08:56:08.387000,Nikki Schwenk,S2,SW,"Analytics,Data Management,Market Research,Real Estate Investment,SaaS",44,-2.0,Florida,
Abacor,abacor.com,York,USA,2026-01-30T14:52:22.623000,2026-01-30T14:52:22.623000,Michael Brannan,B,SW,None,3,50.0,New York,
Abroad,abroad.finance,London,GBR,2026-02-04T10:06:08.859000,2026-02-04T10:06:08.859000,Juliet Fitzgerald,B,I&C,None,56,460.0,"London, City of",12800
Acai Travel,acaitravel.com,New York,USA,2026-01-29T17:50:04.450000,2026-01-29T17:50:04.450000,Nikki Schwenk,A,SW,"Artificial Intelligence (AI),Travel",39,77.0,New York,4500000
Acctual,acctual.com,New York,USA,2026-02-02T12:13:36.583000,2026-02-05T12:19:00,Cassidy Piersiak,S2,I&C,"Accounting,Cryptocurrency,Finance,FinTech,Payments",11,22.0,New York,3850000
Acting Office,actingoffice.com,London,GBR,2026-02-02T11:50:18.794000,2026-02-02T11:50:18.794000,Trevor Eckler,B,SW,"Artificial Intelligence (AI),Compliance,Human Resources,Software",35,106.0,"London, City of",
Activ Answer,activanswer.com,Jacksonville,None,2026-01-28T21:17:54.926000,2026-01-28T21:17:54.926000,Juliet Fitzgerald,B,I&C,None,13,,Florida,
Adaly,adaly.ai,None,None,2026-02-02T14:15:08.763000,2026-02-02T14:15:08.763000,Nikki Schwenk,A,SW,None,15,114.0,,
AdBeacon,adbeacon.com,None,None,2026-01-28T11:36:37.520000,2026-01-28T09:54:25.885000,James McGibbon,B,SW,None,6,20.0,,
Adomo Health,adomohealth.com,New York,USA,2026-02-06T13:55:31.702214,2026-02-06T13:54:15.157000,None,B,None,"Health Care,Medical",11,83.0,New York,120000
Adopt AI,adopt.ai,San Jose,USA,2026-01-30T09:26:58.592000,2026-01-30T09:26:58.592000,Cassidy Piersiak,B,I&C,"Artificial Intelligence (AI),SaaS,Software",24,60.0,California,6000000
Ad Reform,adreform.com,Atlanta,USA,2026-02-05T12:41:55.636640,2026-02-05T11:42:00,None,B,None,"Advertising,Artificial Intelligence (AI),Marketing",12,0.0,Georgia,
Ad Signal,ad-signal.io,York,GBR,2026-01-30T11:26:18.201334,2026-01-30T11:20:00,None,B,None,"Information Technology,SaaS,Software",31,48.0,York,4054416
AffinityClick,affinityclick.com,Ottawa,CAN,2026-01-29T17:09:49.789000,2026-01-29T17:09:49.789000,Nikki Schwenk,S2,SW,"Mobile,Software",47,21.0,Ontario,1203156
Agileday,agileday.com,Helsinki,FIN,2026-02-03T08:43:06.182000,2026-02-03T08:43:06.182000,Cassidy Piersiak,B,I&C,"Information Technology,Professional Services,SaaS,Software",23,0.0,Uusimaa,8998199
aiphoria,aiphoria.net,Adderbury,GBR,2026-02-02T08:09:38.307000,2026-02-02T08:09:38.307000,Cassidy Piersiak,B,I&C,None,18,100.0,Oxfordshire,697000
AIRIA,airia20.com,New York,USA,2026-02-03T23:37:38.360000,2026-02-03T23:37:38.360000,Nikki Schwenk,B,SW,"Artificial Intelligence (AI),IT Management,Software",9,200.0,New York,3095200
AirPay,airpay.dental,New York,USA,2026-01-29T17:28:19.735365,2026-01-29T12:58:00,Ella Steinhilber,S2,SW,"Dental,Financial Services,Insurance",42,75.0,New York,
AKITRA,akitra.com,Sunnyvale,USA,2026-02-03T13:41:53.856000,2026-02-02T08:40:47.270000,Justin Chung,S2,SW,"Artificial Intelligence (AI),Cloud Computing,Cyber Security,Information Technology,Software",79,41.0,California,
Aktos,aktos.ai,New York,USA,2026-02-04T11:19:59.980000,2026-02-04T11:19:59.980000,Danielle Brown,B,I&C,None,8,0.0,New York,4400000
ALARA,alaradental.com,New York,USA,2026-02-05T10:54:51.442000,2026-02-05T10:54:51.442000,Cassidy Piersiak,B,I&C,"Artificial Intelligence (AI),Dental,Price Comparison,Procurement,Software",3,200.0,New York,500000
Aleran Software,aleran.com,Minneapolis,USA,2026-02-03T16:21:32.936085,2026-02-03T16:18:44.873000,None,B,None,"Information Technology,SaaS,Sales,Software",21,24.0,Minnesota,6320000
Alison.ai,alison.ai,Tel Aviv-Yafo,ISR,2026-02-03T11:07:09.315000,2026-02-03T11:07:09.315000,None,S1,None,"Artificial Intelligence (AI),Enterprise Software,SaaS",64,23.0,Tel Aviv,18400000
Altra,altra.cloud,Melbourne,AUS,2026-01-29T08:41:02.085000,2026-01-28T08:44:48.987000,Chad Kemmerer,S3,SW,None,39,77.0,Victoria,
Amenify,amenify.com,San Francisco,USA,2026-01-28T15:24:40.732000,2026-02-09T11:17:00,Cassidy Piersiak,S2,I&C,"Consumer,Home Services,Marketplace,Payments,Property Management",167,94.0,California,18300000
Amherst Intelligent Security,amherstintelligentsecurity.com,Boston,USA,2026-02-06T10:18:51.655000,2026-02-06T10:18:51.655000,Trevor Eckler,C,SW,"Artificial Intelligence (AI),Security,Software",8,0.0,Massachusetts,20000
Amplify,amplify.xyz,San Francisco,USA,2026-02-02T15:28:36.484000,2026-02-02T15:28:36.484000,Nikki Schwenk,A,SW,"B2B,SaaS,Software",46,35.0,California,1735025
Anagram,anagramsecurity.com,New York,USA,2026-01-29T13:06:51.559000,2026-01-29T13:06:51.559000,Chad Kemmerer,A,SW,"Artificial Intelligence (AI),Information Technology,Security",12,1100.0,New York,10000000
Anervea.AI,anervea.ai,Orlando,USA,2026-02-05T13:18:55.787526,2026-01-29T14:43:41.637000,None,B,None,"Artificial Intelligence (AI),Biopharma,Biotechnology,Clinical Trials,Data Integration,Data Management,Health Care,Life Science,Pharmaceutical,SaaS",44,-2.0,Florida,
Anima,animaapp.com,Tel Aviv-Yafo,ISR,2026-01-29T09:38:56.510000,2026-01-29T09:38:56.510000,Michael Brannan,B,SW,"Developer Tools,Information Technology,Internet,Product Design,Software,Web Design",45,2.0,Tel Aviv,12620000
Anodet Inc.,anodet.com,New York,USA,2026-02-06T13:15:48.240726,2026-02-06T13:15:12.816000,None,B,None,"Information Services,Information Technology,Internet",9,200.0,New York,2999998
Anya,anya.health,Kemble,GBR,2026-01-28T10:57:06.340000,2026-01-28T10:57:06.340000,None,C,None,"3D Technology,Artificial Intelligence (AI),Machine Learning,Software",68,21.0,Gloucestershire,1428460
Apify,apify.com,Prague,CZE,2026-02-03T10:37:41.517000,2026-02-03T10:37:41.517000,Trevor Eckler,S3,SW,"E-Commerce,Enterprise Software,Information Technology,Internet,Software",186,50.0,Praha,3486941
Apporto,apporto.com,Palo Alto,USA,2026-01-29T20:47:12.763000,2026-01-29T20:47:12.763000,Trevor Eckler,B,SW,"Apps,Information Technology",34,0.0,California,
Arclet,arclet.com,Asheville,USA,2026-02-06T13:20:04.653667,2026-02-06T12:58:34.253000,None,B,None,"Health Care,Public Safety",7,0.0,North Carolina,
Arcus Power Corp,arcuspower.com,Calgary,CAN,2026-01-29T15:19:55.167000,2026-01-29T15:19:55.167000,Justin Chung,B,SW,"Energy,Energy Management,Internet,SaaS",38,9.0,Alberta,8680000
Arima,arimadata.com,Toronto,CAN,2026-02-04T11:08:50.942000,2026-02-04T11:08:50.942000,Ella Steinhilber,S2,SW,"Artificial Intelligence (AI),Information Technology,Software",40,38.0,Ontario,2608725
Miso,askmiso.com,San Francisco,USA,2026-02-02T12:35:25.950653,2026-02-01T00:00:00,None,S2,None,"Information Technology,UX Design",29,107.0,California,8341000
Vinny,askvinny.com,London,GBR,2026-01-29T14:09:00,2026-01-29T11:36:41.984000,Ainsley Radell,C,I&C,"Artificial Intelligence (AI),Property Management,Real Estate,Software",19,73.0,"London, City of",150424
Aspireship,aspireship.com,Scottsdale,USA,2026-02-06T13:35:31.300000,2026-02-06T13:35:31.300000,None,C,None,"E-Learning,Education,Human Resources,SaaS,Software,Training",23,15.0,Arizona,2856000
AthenaHQ,athenahq.ai,San Francisco,USA,2026-02-02T08:42:45.044000,2026-02-02T08:42:45.044000,James McGibbon,A+,SW,"Artificial Intelligence (AI),Generative AI,Marketing,Search Engine,SEO,Software",14,1300.0,California,2700000
Atominvest,atominvest.co,London,GBR,2026-02-03T11:09:45.180000,2026-02-03T11:09:45.180000,Trevor Eckler,S3,SW,"Asset Management,Enterprise Software,FinTech,Venture Capital",35,21.0,"London, City of",
Atorus,atorusresearch.com,Newtown Square,USA,2026-02-05T13:39:02.566000,2026-02-05T12:34:46.591000,Chad Kemmerer,S3,SW,"Analytics,Information Technology,Pharmaceutical",182,21.0,Pennsylvania,
Attuned Intelligence,attuned-intelligence.com,Orlando,USA,2026-02-05T15:04:55.019065,2026-01-28T15:31:02.596000,Hannah Ditmars,C,SW,"Artificial Intelligence (AI),Consulting,Health Care",11,38.0,Florida,13000000
Authorium,authorium.com,San Francisco,USA,2026-02-05T09:50:30.542000,2026-02-02T13:16:32.655000,Ainsley Radell,B,I&C,"Consulting,Government,Information Technology,Software",55,2.0,California,20000000
Automated Analytics,automatedanalytics.co,Tampa,USA,2026-02-05T11:38:01.228000,2026-02-05T11:38:01.228000,Justin Chung,S2,SW,"Analytics,Artificial Intelligence (AI),Software",20,-13.0,Florida,1355700
Autonoma,autonoma.ai,None,None,2026-01-30T08:55:51.915000,2026-01-30T08:55:51.915000,Nikki Schwenk,A,SW,None,,,,
Avala AI,avala.ai,San Francisco,USA,2026-01-29T16:48:06.298000,2026-01-29T16:48:06.298000,Trevor Eckler,S2,SW,Virtual Workforce,127,95.0,California,4600000
Avenia,avenia.io,São Paulo,BRA,2026-01-29T15:51:39.974000,2026-01-29T15:51:39.974000,Chad Kemmerer,C,SW,"Blockchain,Finance,Financial Services",19,58.0,São Paulo,2697096
Avtal,avtal.com,Austin,None,2026-01-30T08:51:01.457000,2026-01-30T08:51:01.457000,Danielle Brown,S2,I&C,"Financial Services,Online Portals,Payments",14,,Texas,
Awaken Tax,awaken.tax,San Francisco,USA,2026-02-04T19:45:02.873000,2026-02-04T19:45:02.873000,Sinjon Goldberg,B,SW,"Cryptocurrency,Software,Web3",11,120.0,California,400000
Ayble Health,ayblehealth.com,Boston,USA,2026-01-28T14:13:06.308000,2026-01-28T14:13:06.308000,Carolyn Woll,B,I&C,"Health Care,Personal Health",27,-4.0,Massachusetts,4625000
Bamboo,bamboopaymentsystems.com,Montevideo,URY,2026-01-28T10:04:51.558000,2026-01-28T10:04:51.558000,Carolyn Woll,B,I&C,"E-Commerce,Mobile Payments,Payments",139,49.0,Montevideo,
Batbox,batbox.com,Addison,USA,2026-02-05T10:26:07.309000,2026-02-04T16:34:31.333000,Juliet Fitzgerald,A,I&C,"Leisure,Recreation,Sports",24,71.0,Texas,7300000
BCI,bci.ca,Victoria,CAN,2026-01-28T13:48:00,2026-01-28T13:48:00,Larry Cheng,None,I&C,"Banking,Consulting,Finance,Personal Finance,Venture Capital",1922,14.0,British Columbia,2690000000
Beezi,beezi.ai,Houston,USA,2026-02-03T09:18:14.030000,2026-02-03T09:18:14.030000,Nikki Schwenk,C,SW,None,11,0.0,Texas,
Bento,bento.net,Boston,USA,2026-02-03T16:11:24.264000,2026-02-03T16:11:24.264000,Ella Steinhilber,C,SW,"Dental,FinTech,Insurance,Web Development",43,8.0,Massachusetts,10230518
Bespoke Metrics,bespokemetrics.com,Toronto,CAN,2026-01-28T17:14:59.587000,2026-01-28T17:14:59.587000,Nikki Schwenk,S3,SW,"Analytics,Big Data,Data Management,Software",70,25.0,Ontario,
BeyondMath,beyondmath.com,Cambridge,GBR,2026-01-29T10:45:52.873000,2026-01-29T10:45:52.873000,Nikki Schwenk,B,SW,Artificial Intelligence (AI),21,24.0,Cambridgeshire,10310907
Bidbus,bidbus.com,Los Angeles,USA,2026-02-02T08:25:36.393276,2026-01-28T18:27:28.914000,Ainsley Radell,S2,I&C,"Artificial Intelligence (AI),Automotive,E-Commerce Platforms,Marketplace",11,57.0,California,3300000
BIG HAPPY,bighappy.co,New York,USA,2026-01-29T17:05:32.677000,2026-01-29T17:05:32.677000,Ainsley Radell,S2,I&C,"Advertising Platforms,Mobile Advertising",113,43.0,New York,3775000
Bikky,bikky.com,New York,USA,2026-01-30T14:50:07.681000,2026-01-30T14:50:07.681000,Trevor Eckler,B,SW,"Restaurants,SaaS",37,32.0,New York,14150000
Bipsync,bipsync.com,New York,USA,2026-01-30T12:05:46.205000,2026-01-30T12:05:46.205000,Michael Brannan,A,SW,"Computer,Enterprise Software,FinTech,Software",74,17.0,New York,13214776
bïrch (ex Revealbot),bir.ch,New York,USA,2026-01-29T18:38:40.104499,2026-01-28T11:32:29.046000,Hannah Ditmars,S2,SW,None,36,50.0,New York,100000
